iteration,feature_selector,classification_model,best_model_n_features,selected_features,best_params,accuracy_train,precision_train,recall_train,f1_train,accuracy_test,precision_test,recall_test,f1_test,false_negative_test,false_positive_test
5,Lasso,RFC,8,"Pattern_4020 (0.1957),Pattern_2154 (0.1698),Pattern_4376 (0.1531),Pattern_1139 (0.1419),Pattern_910 (0.1359),Pattern_1613 (0.0810),Pattern_2547 (0.0659),Pattern_5849 (0.0567)","classifier__max_depth:4,classifier__max_features:sqrt,classifier__max_samples:0.75,feature_selector__n_features:8",0.890625,0.8648648648648649,0.7804878048780488,0.8205128205128206,0.84375,0.7777777777777778,0.7,0.7368421052631577,"E32,UWM1207,GL105","MSK1666,E51"
5,Lasso,XGB,10,"Pattern_2547 (0.3169),Pattern_5849 (0.2496),Pattern_2154 (0.1582),Pattern_910 (0.1131),Pattern_4020 (0.0701),Pattern_4376 (0.0532),Pattern_5811 (0.0195),Pattern_1139 (0.0193),Pattern_4470 (0.0000),Pattern_1613 (0.0000)","classifier__colsample_bytree:0.5,classifier__learning_rate:0.03,classifier__max_depth:4,feature_selector__n_features:10",0.875,0.8571428571428571,0.7317073170731707,0.7894736842105263,0.90625,0.8888888888888888,0.8,0.8421052631578948,"UWM1207,E67",MSK1666
5,ENNS,RFC,8,"Pattern_910 (0.2896),Pattern_4020 (0.2848),Pattern_2154 (0.2591),Pattern_415 (0.0523),Pattern_1510 (0.0433),Pattern_2171 (0.0388),Pattern_2716 (0.0283),Pattern_32 (0.0039)","classifier__max_depth:2,classifier__max_features:sqrt,classifier__max_samples:0.5,feature_selector__n_features:8",0.8984375,0.868421052631579,0.8048780487804879,0.8354430379746836,0.90625,0.8888888888888888,0.8,0.8421052631578948,"UWM1207,GL105",MSK1666
5,ENNS,XGB,4,"Pattern_2154 (0.4523),Pattern_910 (0.3460),Pattern_4020 (0.2017),Pattern_415 (0.0000)","classifier__colsample_bytree:0.5,classifier__learning_rate:0.3,classifier__max_depth:2,feature_selector__n_features:4",0.84375,0.7837837837837838,0.7073170731707317,0.7435897435897435,0.84375,0.7272727272727273,0.8,0.761904761904762,"UWM1207,GL105","MSK1666,MSK844,MSK2386"
6,Logit,RFC,6,"Pattern_4376 (0.2160),Pattern_2154 (0.2011),Pattern_573 (0.1648),Pattern_1139 (0.1571),Pattern_2006 (0.1353),Pattern_604 (0.1257)","classifier__max_depth:6,classifier__max_features:sqrt,classifier__max_samples:1.0,feature_selector__n_features:6",0.890625,0.8648648648648649,0.7804878048780488,0.8205128205128206,0.84375,0.8571428571428571,0.6,0.7058823529411764,"MSK807,UWM1207,E36,E34",UWM1206
6,Logit,XGB,10,"Pattern_4376 (0.6379),Pattern_2154 (0.2159),Pattern_2006 (0.0685),Pattern_832 (0.0190),Pattern_604 (0.0161),Pattern_4466 (0.0135),Pattern_1139 (0.0135),Pattern_4357 (0.0062),Pattern_395 (0.0056),Pattern_573 (0.0038)","classifier__colsample_bytree:0.5,classifier__learning_rate:0.3,classifier__max_depth:4,feature_selector__n_features:10",0.890625,0.8648648648648649,0.7804878048780488,0.8205128205128206,0.84375,0.8571428571428571,0.6,0.7058823529411764,"MSK807,UWM1207,E36,E34",UWM1206
6,Lasso,RFC,10,"Pattern_2154 (0.1798),Pattern_2006 (0.1690),Pattern_5513 (0.1172),Pattern_2194 (0.0980),Pattern_5845 (0.0881),Pattern_5303 (0.0818),Pattern_1555 (0.0788),Pattern_2257 (0.0773),Pattern_5849 (0.0704),Pattern_966 (0.0397)","classifier__max_depth:6,classifier__max_features:sqrt,classifier__max_samples:0.5,feature_selector__n_features:10",0.9453125,0.9722222222222222,0.8536585365853658,0.9090909090909092,0.75,0.625,0.5,0.5555555555555556,"E67,MSK807,UWM1207,E36,E34","E57,E10,UWM1206"
6,Lasso,XGB,10,"Pattern_5303 (0.3259),Pattern_5849 (0.2999),Pattern_5845 (0.2072),Pattern_2154 (0.1089),Pattern_5513 (0.0548),Pattern_2006 (0.0025),Pattern_2194 (0.0007),Pattern_966 (0.0000),Pattern_2257 (0.0000),Pattern_1555 (0.0000)","classifier__colsample_bytree:1.0,classifier__learning_rate:0.3,classifier__max_depth:4,feature_selector__n_features:10",0.8984375,0.9666666666666668,0.7073170731707317,0.8169014084507042,0.8125,0.75,0.6,0.6666666666666665,"E67,MSK807,UWM1207,E34","E10,UWM1206"
6,ENNS,RFC,10,"Pattern_4376 (0.3320),Pattern_2154 (0.3052),Pattern_5845 (0.2114),Pattern_6743 (0.0705),Pattern_4344 (0.0229),Pattern_3327 (0.0213),Pattern_405 (0.0122),Pattern_1137 (0.0102),Pattern_143 (0.0076),Pattern_4 (0.0067)","classifier__max_depth:2,classifier__max_features:sqrt,classifier__max_samples:0.5,feature_selector__n_features:10",0.8671875,0.8,0.7804878048780488,0.7901234567901235,0.875,0.875,0.7,0.7777777777777777,"MSK807,UWM1207,E34",UWM1206
6,ENNS,XGB,10,"Pattern_5845 (0.4891),Pattern_4376 (0.2501),Pattern_4344 (0.1639),Pattern_2154 (0.0968),Pattern_6743 (0.0000),Pattern_405 (0.0000),Pattern_4 (0.0000),Pattern_3327 (0.0000),Pattern_143 (0.0000),Pattern_1137 (0.0000)","classifier__colsample_bytree:0.75,classifier__learning_rate:0.03,classifier__max_depth:2,feature_selector__n_features:10",0.8671875,0.8333333333333334,0.7317073170731707,0.7792207792207793,0.8125,0.8333333333333334,0.5,0.625,"MSK807,UWM1207,E36,MSK2640,E34",UWM1206
7,Logit,RFC,8,"Pattern_2154 (0.3908),Pattern_4376 (0.1231),Pattern_543 (0.1101),Pattern_604 (0.1072),Pattern_4357 (0.0833),Pattern_2006 (0.0801),Pattern_1139 (0.0691),Pattern_573 (0.0363)","classifier__max_depth:4,classifier__max_features:None,classifier__max_samples:0.75,feature_selector__n_features:8",0.890625,0.8857142857142857,0.7560975609756098,0.8157894736842105,0.84375,0.7777777777777778,0.7,0.7368421052631577,"MSK2191,FM14,GL105","MSK1666,MSK800"
7,Logit,XGB,8,"Pattern_573 (0.4725),Pattern_2154 (0.3736),Pattern_2006 (0.0394),Pattern_1139 (0.0322),Pattern_543 (0.0282),Pattern_604 (0.0256),Pattern_4357 (0.0200),Pattern_4376 (0.0086)","classifier__colsample_bytree:0.5,classifier__learning_rate:0.3,classifier__max_depth:2,feature_selector__n_features:8",0.890625,0.8857142857142857,0.7560975609756098,0.8157894736842105,0.84375,0.7777777777777778,0.7,0.7368421052631577,"MSK2191,FM14,GL105","MSK1666,MSK800"
7,Lasso,RFC,2,"Pattern_2154 (0.6547),Pattern_4052 (0.3453)","classifier__max_depth:2,classifier__max_features:sqrt,classifier__max_samples:0.75,feature_selector__n_features:2",0.8515625,0.8055555555555556,0.7073170731707317,0.7532467532467532,0.84375,0.7777777777777778,0.7,0.7368421052631577,"MSK2191,FM14,GL105","MSK1666,MSK800"
7,Lasso,XGB,10,"Pattern_5303 (0.3121),Pattern_2154 (0.1711),Pattern_2547 (0.1622),Pattern_4376 (0.1245),Pattern_4052 (0.0941),Pattern_1139 (0.0624),Pattern_5513 (0.0429),Pattern_2194 (0.0307),Pattern_4470 (0.0000),Pattern_2257 (0.0000)","classifier__colsample_bytree:0.5,classifier__learning_rate:0.03,classifier__max_depth:2,feature_selector__n_features:10",0.8828125,0.9333333333333332,0.6829268292682927,0.7887323943661972,0.84375,0.7272727272727273,0.8,0.761904761904762,"MSK2191,FM14","MSK1666,MSK815,MSK800"
7,ENNS,RFC,10,"Pattern_2154 (0.3154),Pattern_604 (0.2457),Pattern_4052 (0.1745),Pattern_5513 (0.1154),Pattern_5303 (0.0654),Pattern_415 (0.0230),Pattern_136 (0.0189),Pattern_966 (0.0187),Pattern_6415 (0.0157),Pattern_188 (0.0074)","classifier__max_depth:2,classifier__max_features:sqrt,classifier__max_samples:0.5,feature_selector__n_features:10",0.875,0.8205128205128205,0.7804878048780488,0.8,0.875,0.8,0.8,0.8000000000000002,"MSK2191,FM14","MSK1666,MSK800"
7,ENNS,XGB,10,"Pattern_136 (0.5859),Pattern_5303 (0.2736),Pattern_2154 (0.0592),Pattern_604 (0.0449),Pattern_4052 (0.0202),Pattern_5513 (0.0162),Pattern_966 (0.0000),Pattern_6415 (0.0000),Pattern_415 (0.0000),Pattern_188 (0.0000)","classifier__colsample_bytree:0.5,classifier__learning_rate:0.3,classifier__max_depth:2,feature_selector__n_features:10",0.8828125,0.90625,0.7073170731707317,0.7945205479452054,0.84375,0.7777777777777778,0.7,0.7368421052631577,"MSK2191,FM14,GL105","MSK1666,MSK800"
8,Logit,RFC,8,"Pattern_2154 (0.1781),Pattern_4376 (0.1769),Pattern_573 (0.1384),Pattern_543 (0.1228),Pattern_2006 (0.1175),Pattern_1332 (0.1064),Pattern_5064 (0.0898),Pattern_3906 (0.0700)","classifier__max_depth:2,classifier__max_features:sqrt,classifier__max_samples:0.5,feature_selector__n_features:8",0.8359375,0.7777777777777778,0.6829268292682927,0.7272727272727273,0.90625,0.8888888888888888,0.8,0.8421052631578948,"GL122,E34",CDC339
8,Logit,XGB,2,"Pattern_4376 (0.5758),Pattern_2154 (0.4242)","classifier__colsample_bytree:0.5,classifier__learning_rate:0.3,classifier__max_depth:2,feature_selector__n_features:2",0.8359375,0.8333333333333334,0.6097560975609756,0.7042253521126761,0.90625,0.8888888888888888,0.8,0.8421052631578948,"GL122,E34",CDC339
8,Lasso,RFC,10,"Pattern_2154 (0.2326),Pattern_543 (0.1983),Pattern_4376 (0.1956),Pattern_2547 (0.0835),Pattern_2194 (0.0824),Pattern_5849 (0.0808),Pattern_6497 (0.0434),Pattern_5268 (0.0283),Pattern_1561 (0.0282),Pattern_4470 (0.0268)","classifier__max_depth:2,classifier__max_features:sqrt,classifier__max_samples:0.5,feature_selector__n_features:10",0.8515625,0.7894736842105263,0.7317073170731707,0.7594936708860759,0.90625,0.8888888888888888,0.8,0.8421052631578948,"GL122,E34",CDC339
8,Lasso,XGB,4,"Pattern_2154 (0.4935),Pattern_4376 (0.2845),Pattern_2194 (0.2220),Pattern_4470 (0.0000)","classifier__colsample_bytree:0.5,classifier__learning_rate:0.03,classifier__max_depth:2,feature_selector__n_features:4",0.859375,0.8484848484848485,0.6829268292682927,0.7567567567567567,0.90625,0.8888888888888888,0.8,0.8421052631578948,"GL122,E34",CDC339
8,ENNS,RFC,8,"Pattern_4376 (0.3480),Pattern_2154 (0.3415),Pattern_2194 (0.1668),Pattern_6743 (0.0531),Pattern_667 (0.0374),Pattern_337 (0.0214),Pattern_404 (0.0211),Pattern_6108 (0.0108)","classifier__max_depth:2,classifier__max_features:sqrt,classifier__max_samples:0.5,feature_selector__n_features:8",0.8671875,0.8,0.7804878048780488,0.7901234567901235,0.9375,0.9,0.9,0.9,E34,CDC339
8,ENNS,XGB,2,"Pattern_4376 (0.5758),Pattern_2154 (0.4242)","classifier__colsample_bytree:0.5,classifier__learning_rate:0.3,classifier__max_depth:2,feature_selector__n_features:2",0.8359375,0.8333333333333334,0.6097560975609756,0.7042253521126761,0.90625,0.8888888888888888,0.8,0.8421052631578948,"GL122,E34",CDC339
9,Logit,RFC,8,"Pattern_2154 (0.3351),Pattern_4376 (0.2351),Pattern_5064 (0.1173),Pattern_543 (0.1129),Pattern_4357 (0.0594),Pattern_604 (0.0588),Pattern_1332 (0.0422),Pattern_1139 (0.0393)","classifier__max_depth:2,classifier__max_features:None,classifier__max_samples:0.75,feature_selector__n_features:8",0.8671875,0.8529411764705882,0.7073170731707317,0.7733333333333334,0.875,0.7142857142857143,1.0,0.8333333333333333,,"MSK1666,MSK813,E39,CDC339"
9,Logit,XGB,4,"Pattern_4376 (0.8921),Pattern_2154 (0.0581),Pattern_5064 (0.0297),Pattern_543 (0.0201)","classifier__colsample_bytree:1.0,classifier__learning_rate:0.3,classifier__max_depth:2,feature_selector__n_features:4",0.8671875,0.9,0.6585365853658537,0.7605633802816902,0.90625,0.7692307692307693,1.0,0.8695652173913044,,"MSK1666,MSK813,CDC339"
9,Lasso,RFC,6,"Pattern_2154 (0.2471),Pattern_4376 (0.2437),Pattern_4466 (0.2121),Pattern_4020 (0.1798),Pattern_4054 (0.1174)","classifier__max_depth:2,classifier__max_features:sqrt,classifier__max_samples:0.5,feature_selector__n_features:6",0.8515625,0.8055555555555556,0.7073170731707317,0.7532467532467532,0.8125,0.6428571428571429,0.9,0.75,GL105,"MSK814,MSK1666,MSK813,E39,CDC339"
9,Lasso,XGB,4,"Pattern_4376 (0.5195),Pattern_2154 (0.3469),Pattern_4466 (0.0749),Pattern_4020 (0.0587)","classifier__colsample_bytree:0.75,classifier__learning_rate:0.3,classifier__max_depth:4,feature_selector__n_features:4",0.8671875,0.9,0.6585365853658537,0.7605633802816902,0.84375,0.6923076923076923,0.9,0.7826086956521738,GL105,"MSK814,MSK1666,MSK813,CDC339"
9,ENNS,RFC,2,"Pattern_2154 (0.5734),Pattern_4466 (0.4266)","classifier__max_depth:2,classifier__max_features:None,classifier__max_samples:0.5,feature_selector__n_features:2",0.859375,0.8285714285714286,0.7073170731707317,0.7631578947368421,0.84375,0.6923076923076923,0.9,0.7826086956521738,GL105,"MSK814,MSK1666,MSK813,CDC339"
9,ENNS,XGB,8,"Pattern_2154 (0.4522),Pattern_4466 (0.4077),Pattern_543 (0.1401),Pattern_473 (0.0000),Pattern_415 (0.0000),Pattern_2729 (0.0000),Pattern_136 (0.0000),Pattern_1 (0.0000)","classifier__colsample_bytree:0.5,classifier__learning_rate:0.03,classifier__max_depth:2,feature_selector__n_features:8",0.8671875,0.9,0.6585365853658537,0.7605633802816902,0.84375,0.6923076923076923,0.9,0.7826086956521738,GL105,"MSK814,MSK1666,MSK813,CDC339"
10,Logit,RFC,4,"Pattern_2154 (0.4873),Pattern_4376 (0.2130),Pattern_543 (0.2109),Pattern_573 (0.0888)","classifier__max_depth:2,classifier__max_features:None,classifier__max_samples:0.5,feature_selector__n_features:4",0.8515625,0.7619047619047619,0.7804878048780488,0.7710843373493976,0.8125,0.75,0.6,0.6666666666666665,"E54,MSK2191,GL122,FM14","UWM1206,GL28"
10,Logit,XGB,8,"Pattern_2154 (0.5111),Pattern_573 (0.1109),Pattern_543 (0.1091),Pattern_4376 (0.0999),Pattern_1332 (0.0942),Pattern_1139 (0.0442),Pattern_4357 (0.0220),Pattern_4360 (0.0085)","classifier__colsample_bytree:0.5,classifier__learning_rate:0.03,classifier__max_depth:2,feature_selector__n_features:8",0.875,0.8571428571428571,0.7317073170731707,0.7894736842105263,0.84375,0.7777777777777778,0.7,0.7368421052631577,"E54,MSK2191,FM14","MSK814,UWM1206"
