repeat,iteration,feature_selector,classification_model,best_model_n_features,selected_features,best_params,accuracy_train,precision_train,recall_train,f1_train,accuracy_test,precision_test,recall_test,f1_test,false_negative_test,false_positive_test
2,39,Logit,XGB,10,"Pattern_3229 (0.5668),Pattern_4263 (0.2097),Pattern_4269 (0.0803),Pattern_4266 (0.0448),Pattern_5458 (0.0312),Pattern_6029 (0.0302),Pattern_4011 (0.0271),Pattern_5356 (0.0086),Pattern_1392 (0.0013),Pattern_5606 (0.0000)","classifier__colsample_bytree:1.0,classifier__learning_rate:0.1,classifier__max_depth:2,feature_selector__n_features:10",0.796875,0.7586206896551724,0.5365853658536586,0.6285714285714286,0.75,0.75,0.3,0.4285714285714285,"MSK2199,MSK2448,MSK624,E32,E38,MSK2640,MSK808",CDC337
3,39,Logit,XGB,6,"Pattern_5250 (0.3698),Pattern_4216 (0.3079),Pattern_1032 (0.2932),Pattern_4973 (0.0141),Pattern_6529 (0.0080),Pattern_4678 (0.0070)","classifier__colsample_bytree:0.5,classifier__learning_rate:0.3,classifier__max_depth:2,feature_selector__n_features:6",0.7890625,0.75,0.5121951219512195,0.6086956521739131,0.71875,0.5714285714285714,0.4,0.4705882352941176,"MSK2199,MSK803,MSK2448,MSK624,E32,E38","MSK2124,E37,E68"
1,40,Logit,XGB,4,"Pattern_1550 (0.4965),Pattern_5156 (0.2347),Pattern_1954 (0.1784),Pattern_2601 (0.0904)","classifier__colsample_bytree:0.5,classifier__learning_rate:0.3,classifier__max_depth:2,feature_selector__n_features:4",0.75,0.7368421052631579,0.3414634146341463,0.4666666666666667,0.5,0.125,0.1,0.1111111111111111,"MSK2649,MSK1762,MSK2162,MSK2199,GL62,MSK799,E46,MSK2057,GL105","E64,MSK1666,E47,E12,E68,E79,E62"
2,40,Logit,XGB,4,"Pattern_2715 (0.3200),Pattern_6421 (0.2986),Pattern_4033 (0.2260),Pattern_1623 (0.1554)","classifier__colsample_bytree:0.5,classifier__learning_rate:0.1,classifier__max_depth:2,feature_selector__n_features:4",0.7421875,0.6538461538461539,0.4146341463414634,0.5074626865671641,0.40625,0.0909090909090909,0.1,0.0952380952380952,"MSK2649,MSK1762,MSK2162,MSK2199,GL62,MSK799,E46,MSK2057,GL105","E20,E64,CDC340,E47,E12,E68,UWM1204,E62,E80,E24"
3,40,Logit,XGB,8,"Pattern_3742 (0.2738),Pattern_6083 (0.2051),Pattern_4226 (0.1176),Pattern_5164 (0.1169),Pattern_6689 (0.1014),Pattern_6712 (0.0906),Pattern_4899 (0.0482),Pattern_3803 (0.0464)","classifier__colsample_bytree:1.0,classifier__learning_rate:0.1,classifier__max_depth:2,feature_selector__n_features:8",0.765625,0.8666666666666667,0.3170731707317073,0.4642857142857143,0.625,0.25,0.1,0.1428571428571428,"MSK2649,MSK1762,MSK2162,MSK2199,MSK799,E46,E5,MSK2057,GL105","CDC340,E12,E79"
1,41,Logit,XGB,8,"Pattern_4216 (0.8978),Pattern_3890 (0.0325),Pattern_5174 (0.0142),Pattern_3892 (0.0138),Pattern_3662 (0.0128),Pattern_2297 (0.0107),Pattern_2409 (0.0098),Pattern_1590 (0.0084)","classifier__colsample_bytree:0.75,classifier__learning_rate:0.3,classifier__max_depth:6,feature_selector__n_features:8",0.84375,0.8888888888888888,0.5853658536585366,0.7058823529411764,0.5625,0.3,0.3,0.3,"E54,MSK2649,MSK810,MSK490,FM14,UWM1207,MSK2387","E68,E53,E78,MSK811,MSK1324,E50,E43"
2,41,Logit,XGB,10,"Pattern_3074 (0.4799),Pattern_2401 (0.4610),Pattern_2107 (0.0238),Pattern_5279 (0.0230),Pattern_4307 (0.0046),Pattern_5156 (0.0030),Pattern_5292 (0.0027),Pattern_1820 (0.0019),Pattern_3663 (0.0000),Pattern_1924 (0.0000)","classifier__colsample_bytree:1.0,classifier__learning_rate:0.3,classifier__max_depth:6,feature_selector__n_features:10",0.8125,0.84,0.5121951219512195,0.6363636363636365,0.5,0.0,0.0,0.0,"MSK2199,E54,MSK2162,MSK2649,MSK810,MSK1762,MSK490,FM14,UWM1207,MSK2387","E68,E53,E78,MSK2422,E43,E72"
3,41,Logit,XGB,6,"Pattern_5356 (0.2911),Pattern_4720 (0.2645),Pattern_6394 (0.1313),Pattern_4721 (0.1275),Pattern_1076 (0.1245),Pattern_4722 (0.0612)","classifier__colsample_bytree:0.5,classifier__learning_rate:0.03,classifier__max_depth:2,feature_selector__n_features:6",0.75,0.8,0.2926829268292683,0.4285714285714285,0.6875,0.5,0.4,0.4444444444444445,"MSK2199,E54,MSK2162,MSK1762,MSK490,FM14","UWM1206,MSK1666,CDC336,CDC339"
1,42,Logit,XGB,10,"Pattern_6053 (0.6123),Pattern_1923 (0.0898),Pattern_6306 (0.0759),Pattern_3577 (0.0365),Pattern_5499 (0.0347),Pattern_5037 (0.0331),Pattern_2601 (0.0303),Pattern_4004 (0.0301),Pattern_4321 (0.0297),Pattern_4058 (0.0275)","classifier__colsample_bytree:0.5,classifier__learning_rate:0.3,classifier__max_depth:6,feature_selector__n_features:10",0.828125,0.88,0.5365853658536586,0.6666666666666667,0.625,0.25,0.1,0.1428571428571428,"MSK812,E46,MSK67,MSK2384,MSK2107,E34,MSK2161,UWM1207,MSK810","E33,E40,E74"
2,42,Logit,XGB,10,"Pattern_4587 (0.7060),Pattern_1305 (0.0936),Pattern_3796 (0.0793),Pattern_3885 (0.0348),Pattern_3910 (0.0274),Pattern_1329 (0.0181),Pattern_5491 (0.0172),Pattern_6462 (0.0096),Pattern_3904 (0.0079),Pattern_565 (0.0061)","classifier__colsample_bytree:1.0,classifier__learning_rate:0.1,classifier__max_depth:4,feature_selector__n_features:10",0.7734375,0.9285714285714286,0.3170731707317073,0.4727272727272727,0.65625,0.0,0.0,0.0,"MSK812,E46,E36,MSK67,MSK2384,MSK2107,E34,MSK2161,UWM1207,MSK810",MSK809
3,42,Logit,XGB,2,"Pattern_639 (0.5876),Pattern_6394 (0.4124)","classifier__colsample_bytree:0.5,classifier__learning_rate:0.3,classifier__max_depth:2,feature_selector__n_features:2",0.6953125,0.6,0.1463414634146341,0.2352941176470588,0.6875,0.0,0.0,0.0,"MSK812,E46,E36,MSK67,MSK2384,MSK2107,E34,MSK2161,UWM1207,MSK810",
1,43,Logit,XGB,10,"Pattern_5314 (0.6279),Pattern_5312 (0.3265),Pattern_1640 (0.0161),Pattern_3390 (0.0106),Pattern_2738 (0.0047),Pattern_2886 (0.0038),Pattern_2584 (0.0032),Pattern_1752 (0.0027),Pattern_1522 (0.0024),Pattern_3538 (0.0021)","classifier__colsample_bytree:0.75,classifier__learning_rate:0.3,classifier__max_depth:6,feature_selector__n_features:10",0.796875,0.8947368421052632,0.4146341463414634,0.5666666666666667,0.6875,0.5,0.4,0.4444444444444445,"MSK2387,E32,E38,MSK806,MSK1015,MSK2384","CDC336,MSK800,MSK848,E48"
2,43,Logit,XGB,10,"Pattern_6273 (0.9061),Pattern_6402 (0.0244),Pattern_4512 (0.0212),Pattern_4708 (0.0195),Pattern_1348 (0.0072),Pattern_1936 (0.0058),Pattern_4657 (0.0050),Pattern_4054 (0.0044),Pattern_5908 (0.0038),Pattern_5278 (0.0026)","classifier__colsample_bytree:1.0,classifier__learning_rate:0.3,classifier__max_depth:6,feature_selector__n_features:10",0.828125,0.9523809523809524,0.4878048780487805,0.6451612903225806,0.5625,0.1666666666666666,0.1,0.125,"MSK2387,MSK2161,E32,E38,MSK1762,MSK806,GL29,MSK1015,MSK2384","UWM1204,E63,E20,E74,E18"
3,43,Logit,XGB,10,"Pattern_6097 (0.4251),Pattern_4521 (0.3222),Pattern_2666 (0.0695),Pattern_6686 (0.0422),Pattern_5073 (0.0343),Pattern_5065 (0.0298),Pattern_4027 (0.0286),Pattern_5477 (0.0230),Pattern_6646 (0.0201),Pattern_4388 (0.0051)","classifier__colsample_bytree:0.75,classifier__learning_rate:0.1,classifier__max_depth:2,feature_selector__n_features:10",0.8125,0.8695652173913043,0.4878048780487805,0.625,0.65625,0.4285714285714285,0.3,0.3529411764705882,"MSK2387,MSK2161,E32,GL79,MSK806,MSK1015,MSK2384","MSK800,GL16,E25,E20"
1,44,Logit,XGB,2,"Pattern_1076 (0.6055),Pattern_5275 (0.3945)","classifier__colsample_bytree:0.5,classifier__learning_rate:0.3,classifier__max_depth:2,feature_selector__n_features:2",0.7421875,0.75,0.2926829268292683,0.4210526315789473,0.71875,0.6666666666666666,0.2,0.3076923076923076,"E34,E32,MSK2107,MSK1394,E36,MSK2161,GL62,MSK2094",MSK2386
2,44,Logit,XGB,4,"Pattern_1553 (0.4722),Pattern_4711 (0.2711),Pattern_1393 (0.1952),Pattern_5185 (0.0615)","classifier__colsample_bytree:0.75,classifier__learning_rate:0.03,classifier__max_depth:4,feature_selector__n_features:4",0.703125,0.56,0.3414634146341463,0.4242424242424242,0.59375,0.2857142857142857,0.2,0.2352941176470588,"E34,MSK2107,MSK1394,MSK2448,MSK2161,GL62,MSK2094,MSK808","MSK925,CDC337,CDC335,E6,MSK2406"
3,44,Logit,XGB,6,"Pattern_2191 (0.3105),Pattern_5174 (0.2965),Pattern_4678 (0.1374),Pattern_3186 (0.1095),Pattern_2015 (0.0819),Pattern_3398 (0.0642)","classifier__colsample_bytree:0.75,classifier__learning_rate:0.03,classifier__max_depth:2,feature_selector__n_features:6",0.765625,0.7619047619047619,0.3902439024390244,0.5161290322580646,0.5625,0.25,0.2,0.2222222222222222,"MSK2107,MSK1394,E36,MSK2448,MSK2161,GL62,MSK2094,MSK808","MSK925,E47,E33,E6,E25,E78"
1,45,Logit,XGB,10,"Pattern_3132 (0.3258),Pattern_4803 (0.2090),Pattern_5978 (0.1094),Pattern_4293 (0.0772),Pattern_5278 (0.0652),Pattern_5042 (0.0518),Pattern_3913 (0.0444),Pattern_1707 (0.0423),Pattern_6335 (0.0391),Pattern_1170 (0.0356)","classifier__colsample_bytree:1.0,classifier__learning_rate:0.3,classifier__max_depth:4,feature_selector__n_features:10",0.8125,0.7073170731707317,0.7073170731707317,0.7073170731707317,0.65625,0.4285714285714285,0.3,0.3529411764705882,"E54,CDC344,MSK799,E5,MSK807,GL29,GL23","UWM1206,MSK1298,MSK1324,MSK923"
2,45,Logit,XGB,10,"Pattern_5244 (0.1621),Pattern_2371 (0.1488),Pattern_4200 (0.1391),Pattern_4174 (0.1193),Pattern_3186 (0.1165),Pattern_2015 (0.1053),Pattern_3060 (0.0972),Pattern_1906 (0.0587),Pattern_4896 (0.0531),Pattern_3069 (0.0000)","classifier__colsample_bytree:0.5,classifier__learning_rate:0.1,classifier__max_depth:2,feature_selector__n_features:10",0.8203125,0.8,0.5853658536585366,0.676056338028169,0.59375,0.2857142857142857,0.2,0.2352941176470588,"MSK810,CDC344,MSK799,E5,MSK2640,MSK2199,GL29,GL23","MSK1258,UWM1206,E48,MSK2413,E75"
3,45,Logit,XGB,10,"Pattern_6226 (0.6730),Pattern_4977 (0.0579),Pattern_6090 (0.0526),Pattern_2563 (0.0424),Pattern_1941 (0.0412),Pattern_3067 (0.0306),Pattern_2961 (0.0281),Pattern_1506 (0.0262),Pattern_6548 (0.0260),Pattern_5828 (0.0220)","classifier__colsample_bytree:0.5,classifier__learning_rate:0.3,classifier__max_depth:4,feature_selector__n_features:10",0.8515625,0.8666666666666667,0.6341463414634146,0.7323943661971831,0.65625,0.4285714285714285,0.3,0.3529411764705882,"E54,CDC344,MSK799,MSK2199,MSK807,GL29,GL23","E52,GL28,MSK2524,MSK1882"
1,46,Logit,XGB,4,"Pattern_3400 (0.3967),Pattern_4421 (0.3061),Pattern_4416 (0.1776),Pattern_5465 (0.1195)","classifier__colsample_bytree:0.5,classifier__learning_rate:0.3,classifier__max_depth:2,feature_selector__n_features:4",0.7421875,0.6666666666666666,0.3902439024390244,0.4923076923076923,0.6875,0.5,0.2,0.2857142857142857,"MSK802,MSK1015,E38,MSK2094,MSK2162,UWM1199,MSK2161,FM14","E56,GL28"
2,46,Logit,XGB,4,"Pattern_3911 (0.3843),Pattern_6342 (0.3063),Pattern_3913 (0.2904),Pattern_3895 (0.0190)","classifier__colsample_bytree:0.5,classifier__learning_rate:0.3,classifier__max_depth:2,feature_selector__n_features:4",0.75,0.6,0.6585365853658537,0.627906976744186,0.625,0.4166666666666667,0.5,0.4545454545454545,"E36,MSK1015,MSK2094,MSK2161,FM14","E39,MSK846,UWM1196,MSK2406,E3,MSK2413,MSK1666"
3,46,Logit,XGB,8,"Pattern_4871 (0.5473),Pattern_4856 (0.1334),Pattern_5706 (0.1173),Pattern_4202 (0.0890),Pattern_4923 (0.0473),Pattern_5042 (0.0302),Pattern_4972 (0.0194),Pattern_4182 (0.0163)","classifier__colsample_bytree:0.5,classifier__learning_rate:0.1,classifier__max_depth:4,feature_selector__n_features:8",0.703125,0.7142857142857143,0.1219512195121951,0.2083333333333333,0.625,0.0,0.0,0.0,"MSK802,E36,MSK1015,GL62,E38,MSK2094,MSK2162,UWM1199,MSK2161,FM14","MSK846,UWM1196"
1,47,Logit,XGB,8,"Pattern_2676 (0.5991),Pattern_1579 (0.0972),Pattern_1348 (0.0794),Pattern_5119 (0.0629),Pattern_4745 (0.0609),Pattern_5408 (0.0521),Pattern_6386 (0.0394),Pattern_870 (0.0091)","classifier__colsample_bytree:0.5,classifier__learning_rate:0.1,classifier__max_depth:4,feature_selector__n_features:8",0.75,0.8,0.2926829268292683,0.4285714285714285,0.625,0.0,0.0,0.0,"FM14,GL122,MSK806,GL62,MSK2199,MSK2387,MSK2384,MSK807,E38,UWM1207","E13,E61"
2,47,Logit,XGB,4,"Pattern_2677 (0.3681),Pattern_4653 (0.2419),Pattern_5741 (0.2298),Pattern_4591 (0.1602)","classifier__colsample_bytree:1.0,classifier__learning_rate:0.1,classifier__max_depth:4,feature_selector__n_features:4",0.734375,0.7058823529411765,0.2926829268292683,0.4137931034482758,0.65625,0.0,0.0,0.0,"FM14,GL122,MSK806,GL62,MSK2199,MSK2387,MSK2384,MSK807,E38,UWM1207",E66
3,47,Logit,XGB,2,"Pattern_452 (0.6042),Pattern_4278 (0.3958)","classifier__colsample_bytree:0.5,classifier__learning_rate:0.3,classifier__max_depth:2,feature_selector__n_features:2",0.7265625,0.7142857142857143,0.2439024390243902,0.3636363636363636,0.75,1.0,0.2,0.3333333333333333,"FM14,GL122,GL62,MSK2199,MSK2384,MSK807,E38,UWM1207",
1,48,Logit,XGB,6,"Pattern_4859 (0.7302),Pattern_5153 (0.0996),Pattern_3886 (0.0651),Pattern_2784 (0.0420),Pattern_1766 (0.0359),Pattern_1667 (0.0271)","classifier__colsample_bytree:0.75,classifier__learning_rate:0.1,classifier__max_depth:2,feature_selector__n_features:6",0.796875,0.8,0.4878048780487805,0.6060606060606061,0.625,0.25,0.1,0.1428571428571428,"MSK1015,MSK795,UWM1199,GL23,MSK624,MSK1119,MSK802,MSK2094,E7","E51,MSK850,E78"
2,48,Logit,XGB,8,"Pattern_4325 (0.3504),Pattern_4672 (0.1939),Pattern_5133 (0.1435),Pattern_6529 (0.1229),Pattern_6194 (0.0720),Pattern_4949 (0.0521),Pattern_580 (0.0371),Pattern_1853 (0.0281)","classifier__colsample_bytree:0.5,classifier__learning_rate:0.3,classifier__max_depth:2,feature_selector__n_features:8",0.8203125,0.7647058823529411,0.6341463414634146,0.6933333333333332,0.625,0.3333333333333333,0.2,0.25,"MSK1015,E32,GL23,MSK624,MSK1119,MSK802,MSK2094,E7","MSK2124,CDC340,E59,MSK814"
3,48,Logit,XGB,2,"Pattern_4022 (0.5046),Pattern_1322 (0.4954)","classifier__colsample_bytree:0.5,classifier__learning_rate:0.3,classifier__max_depth:2,feature_selector__n_features:2",0.7265625,0.6363636363636364,0.3414634146341463,0.4444444444444445,0.8125,0.75,0.6,0.6666666666666665,"MSK795,GL23,MSK802,E7","UWM1196,CDC339"
1,49,Logit,XGB,8,"Pattern_5918 (0.8811),Pattern_1353 (0.0484),Pattern_6019 (0.0220),Pattern_1853 (0.0212),Pattern_5359 (0.0153),Pattern_5839 (0.0071),Pattern_5441 (0.0031),Pattern_1105 (0.0018)","classifier__colsample_bytree:0.75,classifier__learning_rate:0.3,classifier__max_depth:2,feature_selector__n_features:8",0.7890625,0.7916666666666666,0.4634146341463415,0.5846153846153846,0.5625,0.1666666666666666,0.1,0.125,"E5,MSK314,E46,MSK795,GL122,MSK799,MSK808,MSK67,MSK2448","E51,E3,E41,E81,MSK2499"
2,49,Logit,XGB,4,"Pattern_2400 (0.3000),Pattern_5637 (0.2601),Pattern_3105 (0.2249),Pattern_1942 (0.2150)","classifier__colsample_bytree:0.5,classifier__learning_rate:0.3,classifier__max_depth:2,feature_selector__n_features:4",0.796875,0.6923076923076923,0.6585365853658537,0.675,0.65625,0.4285714285714285,0.3,0.3529411764705882,"E5,MSK795,MSK799,MSK808,MSK67,MSK2448,E54","E13,MSK2386,MSK923,UWM1198"
3,49,Logit,XGB,10,"Pattern_3203 (0.2939),Pattern_4574 (0.2418),Pattern_6385 (0.1637),Pattern_4420 (0.0724),Pattern_4551 (0.0532),Pattern_3672 (0.0510),Pattern_6293 (0.0429),Pattern_6094 (0.0419),Pattern_6651 (0.0240),Pattern_5960 (0.0152)","classifier__colsample_bytree:1.0,classifier__learning_rate:0.1,classifier__max_depth:2,feature_selector__n_features:10",0.8515625,0.9583333333333334,0.5609756097560976,0.7076923076923077,0.5625,0.1666666666666666,0.1,0.125,"E5,MSK314,E46,MSK795,MSK799,MSK808,MSK67,MSK2448,E54","E51,E47,E13,E41,E81"
