repeat,iteration,feature_selector,classification_model,best_model_n_features,selected_features,best_params,accuracy_train,precision_train,recall_train,f1_train,accuracy_test,precision_test,recall_test,f1_test,false_negative_test,false_positive_test
3,29,Logit,XGB,8,"Pattern_1597 (0.2812),Pattern_2905 (0.2505),Pattern_1678 (0.1931),Pattern_2180 (0.0955),Pattern_4003 (0.0891),Pattern_5908 (0.0542),Pattern_2794 (0.0258),Pattern_3390 (0.0105)","classifier__colsample_bytree:1.0,classifier__learning_rate:0.1,classifier__max_depth:2,feature_selector__n_features:8",0.828125,0.8064516129032258,0.6097560975609756,0.6944444444444445,0.5625,0.1666666666666666,0.1,0.125,"GL62,GL105,MSK624,MSK67,MSK1119,GL122,MSK2387,CDC343,E34","E22,E19,MSK811,MSK2386,MSK2524"
1,30,Logit,XGB,10,"Pattern_2666 (0.1559),Pattern_6336 (0.1500),Pattern_2313 (0.1405),Pattern_4601 (0.1298),Pattern_5348 (0.1035),Pattern_2886 (0.0823),Pattern_4047 (0.0769),Pattern_2172 (0.0663),Pattern_6335 (0.0544),Pattern_6513 (0.0405)","classifier__colsample_bytree:0.5,classifier__learning_rate:0.1,classifier__max_depth:2,feature_selector__n_features:10",0.8515625,0.84375,0.6585365853658537,0.7397260273972602,0.65625,0.4545454545454545,0.5,0.4761904761904761,"E54,E67,E46,E36,MSK2387","E11,E60,MSK800,E81,UWM1204,MSK811"
2,30,Logit,XGB,8,"Pattern_5809 (0.3508),Pattern_6268 (0.3389),Pattern_6694 (0.2184),Pattern_4824 (0.0231),Pattern_4881 (0.0185),Pattern_4828 (0.0174),Pattern_4642 (0.0165),Pattern_3920 (0.0164)","classifier__colsample_bytree:0.75,classifier__learning_rate:0.03,classifier__max_depth:4,feature_selector__n_features:8",0.7578125,0.8125,0.3170731707317073,0.4561403508771929,0.5625,0.0,0.0,0.0,"E54,MSK2448,MSK1762,E67,GL122,GL29,CDC343,E46,E36,MSK2387","E20,E18,CDC342,E12"
3,30,Logit,XGB,2,"Pattern_4873 (0.5112),Pattern_2605 (0.4888)","classifier__colsample_bytree:0.5,classifier__learning_rate:0.3,classifier__max_depth:2,feature_selector__n_features:2",0.703125,0.5714285714285714,0.2926829268292683,0.3870967741935484,0.6875,0.5,0.2,0.2857142857142857,"MSK2448,MSK1762,GL122,GL29,CDC343,E46,E36,MSK2387","E20,E13"
1,31,Logit,XGB,10,"Pattern_3522 (0.8092),Pattern_2304 (0.1352),Pattern_6246 (0.0186),Pattern_6691 (0.0086),Pattern_834 (0.0073),Pattern_6242 (0.0063),Pattern_3621 (0.0061),Pattern_2497 (0.0053),Pattern_3545 (0.0035),Pattern_2284 (0.0000)","classifier__colsample_bytree:1.0,classifier__learning_rate:0.3,classifier__max_depth:6,feature_selector__n_features:10",0.796875,0.7777777777777778,0.5121951219512195,0.6176470588235294,0.65625,0.4285714285714285,0.3,0.3529411764705882,"MSK802,E32,CDC344,MSK1762,MSK2387,E5,MSK2389","MSK2524,MSK811,MSK1298,E56"
2,31,Logit,XGB,2,"Pattern_4822 (0.6762),Pattern_4176 (0.3238)","classifier__colsample_bytree:1.0,classifier__learning_rate:0.3,classifier__max_depth:2,feature_selector__n_features:2",0.7265625,0.875,0.1707317073170731,0.2857142857142857,0.65625,0.0,0.0,0.0,"MSK802,MSK2107,MSK2191,E32,CDC344,MSK1762,MSK2387,E5,E46,MSK2389",E22
3,31,Logit,XGB,10,"Pattern_3015 (0.1803),Pattern_6362 (0.1279),Pattern_946 (0.1218),Pattern_3251 (0.1131),Pattern_3969 (0.1113),Pattern_3619 (0.0993),Pattern_1522 (0.0973),Pattern_2584 (0.0919),Pattern_3662 (0.0323),Pattern_3504 (0.0248)","classifier__colsample_bytree:0.75,classifier__learning_rate:0.03,classifier__max_depth:4,feature_selector__n_features:10",0.78125,0.8421052631578947,0.3902439024390244,0.5333333333333333,0.5625,0.25,0.2,0.2222222222222222,"MSK802,MSK2107,E32,CDC344,MSK2387,E5,E46,MSK2389","MSK1090,E22,MSK1324,UWM1204,MSK800,UWM1195"
1,32,Logit,XGB,4,"Pattern_5949 (0.5075),Pattern_6627 (0.1756),Pattern_6342 (0.1600),Pattern_3678 (0.1569)","classifier__colsample_bytree:0.5,classifier__learning_rate:0.3,classifier__max_depth:2,feature_selector__n_features:4",0.75,0.8461538461538461,0.2682926829268293,0.4074074074074075,0.65625,0.0,0.0,0.0,"MSK2161,MSK2057,MSK1119,E30,MSK795,GL23,MSK807,MSK799,MSK2162,MSK2384",E71
2,32,Logit,XGB,10,"Pattern_2268 (0.6513),Pattern_3506 (0.2288),Pattern_2098 (0.0391),Pattern_6397 (0.0344),Pattern_5168 (0.0130),Pattern_5171 (0.0121),Pattern_6398 (0.0077),Pattern_3621 (0.0066),Pattern_5169 (0.0037),Pattern_2264 (0.0033)","classifier__colsample_bytree:0.75,classifier__learning_rate:0.3,classifier__max_depth:2,feature_selector__n_features:10",0.8359375,0.7777777777777778,0.6829268292682927,0.7272727272727273,0.53125,0.1428571428571428,0.1,0.1176470588235294,"MSK2161,MSK2057,MSK1119,E30,MSK795,GL23,MSK807,MSK799,MSK2162","UWM1198,MSK844,E39,CDC340,E3,E75"
3,32,Logit,XGB,10,"Pattern_4149 (0.6016),Pattern_4033 (0.1013),Pattern_4030 (0.0717),Pattern_3468 (0.0522),Pattern_3390 (0.0486),Pattern_4141 (0.0451),Pattern_4031 (0.0447),Pattern_4029 (0.0146),Pattern_4034 (0.0131),Pattern_4032 (0.0071)","classifier__colsample_bytree:1.0,classifier__learning_rate:0.3,classifier__max_depth:2,feature_selector__n_features:10",0.75,0.6956521739130435,0.3902439024390244,0.5000000000000001,0.5625,0.0,0.0,0.0,"MSK2161,MSK2057,MSK1119,E30,MSK795,GL23,MSK807,MSK799,MSK2162,MSK2384","MSK815,CDC340,E20,CDC338"
1,33,Logit,XGB,8,"Pattern_2218 (0.9322),Pattern_5522 (0.0239),Pattern_6134 (0.0216),Pattern_2584 (0.0081),Pattern_1702 (0.0064),Pattern_4334 (0.0047),Pattern_1497 (0.0030),Pattern_1522 (0.0000)","classifier__colsample_bytree:1.0,classifier__learning_rate:0.3,classifier__max_depth:6,feature_selector__n_features:8",0.7890625,0.75,0.5121951219512195,0.6086956521739131,0.53125,0.2222222222222222,0.2,0.2105263157894737,"FM14,MSK2161,E30,MSK2387,MSK490,E34,GL105,E67","E19,MSK2124,E18,MSK2413,E24,E43,UWM1204"
2,33,Logit,XGB,8,"Pattern_1686 (0.2398),Pattern_5284 (0.2294),Pattern_2803 (0.1416),Pattern_2304 (0.1043),Pattern_2713 (0.0958),Pattern_3545 (0.0731),Pattern_4360 (0.0662),Pattern_2708 (0.0498)","classifier__colsample_bytree:0.5,classifier__learning_rate:0.1,classifier__max_depth:2,feature_selector__n_features:8",0.8359375,0.9166666666666666,0.5365853658536586,0.676923076923077,0.625,0.25,0.1,0.1428571428571428,"FM14,MSK2161,MSK2387,MSK490,E34,GL105,E67,MSK2057,MSK67","E69,MSK804,MSK923"
3,33,Logit,XGB,6,"Pattern_4318 (0.4027),Pattern_6257 (0.2114),Pattern_5494 (0.1622),Pattern_4907 (0.0904),Pattern_6267 (0.0694),Pattern_6536 (0.0638)","classifier__colsample_bytree:0.5,classifier__learning_rate:0.03,classifier__max_depth:2,feature_selector__n_features:6",0.765625,0.9230769230769232,0.2926829268292683,0.4444444444444444,0.59375,0.0,0.0,0.0,"FM14,MSK2161,E30,MSK2387,MSK490,E34,GL105,E67,MSK2057,MSK67","CDC340,MSK2413,E43"
1,34,Logit,XGB,2,"Pattern_5088 (0.7750),Pattern_1006 (0.2250)","classifier__colsample_bytree:0.5,classifier__learning_rate:0.3,classifier__max_depth:2,feature_selector__n_features:2",0.7421875,0.6333333333333333,0.4634146341463415,0.5352112676056339,0.59375,0.3333333333333333,0.3,0.3157894736842105,"MSK2057,GL29,MSK2649,MSK2640,MSK314,MSK1394,MSK1015","E31,E56,MSK811,E65,MSK2406,MSK1882"
2,34,Logit,XGB,2,"Pattern_6667 (0.6759),Pattern_6612 (0.3241)","classifier__colsample_bytree:0.5,classifier__learning_rate:0.03,classifier__max_depth:2,feature_selector__n_features:2",0.7421875,0.7222222222222222,0.3170731707317073,0.4406779661016949,0.625,0.0,0.0,0.0,"MSK2057,MSK2191,GL29,E32,MSK2649,CDC344,MSK2640,MSK314,MSK1394,MSK1015","E75,E74"
3,34,Logit,XGB,6,"Pattern_3364 (0.7918),Pattern_3451 (0.1257),Pattern_5344 (0.0263),Pattern_3367 (0.0193),Pattern_4416 (0.0188),Pattern_3877 (0.0181)","classifier__colsample_bytree:0.5,classifier__learning_rate:0.3,classifier__max_depth:4,feature_selector__n_features:6",0.78125,0.7407407407407407,0.4878048780487805,0.588235294117647,0.59375,0.2,0.1,0.1333333333333333,"MSK2057,MSK2191,GL29,E32,MSK2649,CDC344,MSK2640,MSK314,MSK1015","E31,E56,E65,MSK814"
1,35,Logit,XGB,6,"Pattern_5527 (0.3483),Pattern_5564 (0.1881),Pattern_2340 (0.1239),Pattern_834 (0.1163),Pattern_6333 (0.1129),Pattern_2133 (0.1105)","classifier__colsample_bytree:0.5,classifier__learning_rate:0.1,classifier__max_depth:4,feature_selector__n_features:6",0.78125,1.0,0.3170731707317073,0.4814814814814814,0.625,0.25,0.1,0.1428571428571428,"UWM1207,E7,MSK806,E34,MSK2640,MSK490,MSK812,E67,MSK314","CDC337,UWM1208,E52"
2,35,Logit,XGB,6,"Pattern_2339 (0.7402),Pattern_3029 (0.0792),Pattern_4717 (0.0718),Pattern_4784 (0.0644),Pattern_2803 (0.0443),Pattern_1686 (0.0000)","classifier__colsample_bytree:1.0,classifier__learning_rate:0.3,classifier__max_depth:4,feature_selector__n_features:6",0.765625,0.7619047619047619,0.3902439024390244,0.5161290322580646,0.75,0.6666666666666666,0.4,0.5,"UWM1207,E7,MSK806,MSK2640,E67,MSK314","CDC337,UWM1206"
3,35,Logit,XGB,10,"Pattern_6461 (0.2493),Pattern_5849 (0.1723),Pattern_5205 (0.1636),Pattern_6663 (0.0630),Pattern_1426 (0.0622),Pattern_4580 (0.0621),Pattern_4872 (0.0610),Pattern_3950 (0.0605),Pattern_6350 (0.0552),Pattern_1576 (0.0510)","classifier__colsample_bytree:0.5,classifier__learning_rate:0.1,classifier__max_depth:2,feature_selector__n_features:10",0.8125,0.7741935483870968,0.5853658536585366,0.6666666666666666,0.71875,0.5714285714285714,0.4,0.4705882352941176,"UWM1207,E7,MSK2640,MSK490,E67,CDC344","E6,E56,CDC340"
