iteration,feature_selector,classification_model,accuracy_test,precision_test,recall_test,f1_test,strategy
30,Logit,XGB,0.78125,0.6363636363636364,0.7,0.6666666666666666,oversampling
31,Logit,XGB,0.8125,0.8333333333333334,0.5,0.625,oversampling
32,Logit,XGB,0.8125,0.6428571428571429,0.9,0.75,oversampling
33,Logit,XGB,0.78125,0.6666666666666666,0.6,0.631578947368421,oversampling
34,Logit,XGB,0.90625,0.8181818181818182,0.9,0.8571428571428572,oversampling
35,Logit,XGB,0.8125,0.75,0.6,0.6666666666666665,oversampling
36,Logit,XGB,0.78125,0.6666666666666666,0.6,0.631578947368421,oversampling
37,Logit,XGB,0.90625,0.8888888888888888,0.8,0.8421052631578948,oversampling
38,Logit,XGB,0.71875,0.5454545454545454,0.6,0.5714285714285713,oversampling
39,Logit,XGB,0.84375,0.7777777777777778,0.7,0.7368421052631577,oversampling
40,Logit,XGB,0.78125,0.6666666666666666,0.6,0.631578947368421,oversampling
41,Logit,XGB,0.75,0.5833333333333334,0.7,0.6363636363636365,oversampling
42,Logit,XGB,0.8125,0.75,0.6,0.6666666666666665,oversampling
43,Logit,XGB,0.78125,0.6363636363636364,0.7,0.6666666666666666,oversampling
44,Logit,XGB,0.8125,0.75,0.6,0.6666666666666665,oversampling
45,Logit,XGB,0.78125,0.8,0.4,0.5333333333333333,oversampling
46,Logit,XGB,0.8125,0.7,0.7,0.7,oversampling
47,Logit,XGB,0.75,1.0,0.2,0.3333333333333333,oversampling
48,Logit,XGB,0.8125,0.6666666666666666,0.8,0.7272727272727272,oversampling
49,Logit,XGB,0.90625,0.8888888888888888,0.8,0.8421052631578948,oversampling
