strain,HR_INDEX
12HX453,0.035827879310488475
16CH164,0.04003725164488614
13JX024,0.04158078708279611
13JX025,0.044776659642381755
12SD076,0.044776659642381755
10PU200,0.044776659642381755
18XH438,0.044776659642381755
18XH416,0.044776659642381755
13Z3173,0.044776659642381755
18JD193,0.044776659642381755
17CH318,0.044776659642381755
17CH241,0.044776659642381755
17CH230,0.044776659642381755
17CH228,0.044776659642381755
16CH183,0.044776659642381755
16GY026,0.044776659642381755
11S1006,0.044776659642381755
16AS065,0.044776659642381755
16AS086,0.044776659642381755
17TJ01008,0.044776659642381755
19HD197,0.044776659642381755
14Z1230,0.044776659642381755
18JD195,0.044776659642381755
19DL329,0.044776659642381755
16CH196,0.048353257156088736
15HD046,0.051963763443586775
15HX893,0.054569845837477926
18XY432,0.055396021187758215
19TJ01-029,0.056331554319398514
16RT037,0.057020738369225166
15JS412,0.057453304264347915
19Hb04-021,0.058682415618865
12FJ120,0.05871824872216713
14XH178,0.05893875986157404
16AS081,0.06252816605291889
14LZ039,0.0640025900982013
13XH061,0.0640839582288959
18GY096,0.06561049322035517
17H1663,0.06695829135675879
18GY126,0.06702332664365729
11HX205,0.06759792621232286
13CQ043,0.06902982215258124
12XY108,0.07016517752191798
16CH146,0.07031961510081242
14ZZ255,0.07089171647845016
19XY468,0.07836014937181401
16RT032,0.07986598465901096
17ZS484,0.0921169106427151
15GF053,0.09496952358592603
17GY050,0.10300952102674255
14XY233,0.1038506883064435
17FJ603,0.11392603799577494
17XY340,0.1161533129713288
11FJ013,0.12291594106029091
15GH496,0.13611810932551793
19Y2 282,0.14508164072596075
18XY411,0.15085162694802812
19JL02143,0.15346687482031862
18XY437,0.15690408277244483
19TJ01-036,0.1637174978246423
19TJ01-038,0.163801239983836
15S3059,0.17351438015440168
13GX010,0.18581469649609916
13RJ148,0.1878049166891369
13H1285,0.2059495476599813
17G1308,0.2254493820837844
17FJ604,0.2547760119853705
18GY120,0.27856510006866353
11FJ017,0.3238358707919815
19ZS617,0.3429371562147918
LJ56,0.34587190608708684
14FJ319,0.36504161759981657
17RT046,0.3796685960855377
18H1744,0.3869914682361486
19HX1344,0.42002679580282276
19XY447,0.4433322686344646
19HX1338,0.4725076934063043
